Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Credit_Score,Loan_Status
Female,Yes,Not Graduate,Yes,9839.0,5179.0,250.0,240.0,1.0,330.0,Y
Female,Yes,Graduate,No,17652.0,12786.0,418.0,240.0,1.0,589.0,Y
Female,Yes,Not Graduate,Yes,8859.0,1610.0,346.0,360.0,0.0,377.0,Y
Female,Yes,Not Graduate,No,2752.0,8679.0,136.0,120.0,1.0,742.0,N
Female,Yes,Graduate,No,15304.0,464.0,367.0,360.0,1.0,736.0,Y
Female,Yes,Not Graduate,No,18498.0,4323.0,685.0,120.0,0.0,660.0,Y
Female,Yes,Graduate,No,17057.0,8857.0,214.0,240.0,1.0,353.0,Y
Female,No,Graduate,No,23725.0,5475.0,180.0,240.0,1.0,670.0,Y
Male,Yes,Graduate,No,5980.0,9681.0,626.0,360.0,1.0,396.0,Y
Male,No,Not Graduate,No,8325.0,6965.0,435.0,120.0,1.0,829.0,Y
Female,Yes,Not Graduate,Yes,21202.0,798.0,183.0,240.0,1.0,693.0,Y
Female,Yes,Not Graduate,No,18852.0,7496.0,253.0,180.0,1.0,335.0,Y
Female,Yes,Not Graduate,No,2425.0,11490.0,352.0,180.0,0.0,617.0,Y
Male,Yes,Graduate,No,10141.0,3240.0,601.0,180.0,1.0,669.0,N
Female,Yes,Graduate,No,19959.0,3355.0,547.0,360.0,1.0,350.0,Y
Male,No,Not Graduate,No,12057.0,3929.0,372.0,240.0,0.0,586.0,Y
Male,No,Not Graduate,No,19217.0,12549.0,606.0,120.0,1.0,542.0,N
Male,No,Not Graduate,No,16316.0,12065.0,231.0,180.0,1.0,590.0,N
Male,No,Not Graduate,No,16820.0,859.0,424.0,120.0,0.0,712.0,N
Male,Yes,Graduate,Yes,6106.0,8555.0,450.0,360.0,1.0,521.0,Y
Female,Yes,Not Graduate,No,22087.0,14334.0,182.0,240.0,1.0,330.0,Y
Female,Yes,Graduate,No,3408.0,14318.0,225.0,240.0,1.0,367.0,Y
Female,No,Not Graduate,No,21865.0,7688.0,313.0,360.0,1.0,781.0,Y
Female,Yes,Not Graduate,No,24569.0,12124.0,699.0,240.0,1.0,395.0,Y
Female,No,Not Graduate,Yes,7821.0,10337.0,561.0,360.0,1.0,524.0,Y
Male,No,Graduate,No,12362.0,13323.0,204.0,240.0,1.0,848.0,N
Female,No,Not Graduate,No,8844.0,11023.0,470.0,240.0,1.0,645.0,N
Female,No,Graduate,No,8395.0,12870.0,162.0,240.0,1.0,522.0,Y
Male,No,Graduate,No,10795.0,5022.0,568.0,180.0,1.0,583.0,Y
Female,Yes,Not Graduate,No,17843.0,7584.0,125.0,360.0,1.0,553.0,Y
Male,No,Graduate,Yes,18596.0,11764.0,100.0,360.0,0.0,419.0,N
Female,No,Graduate,No,24795.0,14470.0,193.0,180.0,1.0,437.0,Y
Male,Yes,Graduate,No,17341.0,7496.0,551.0,240.0,1.0,627.0,Y
Female,No,Not Graduate,No,6801.0,9107.0,111.0,240.0,1.0,839.0,Y
Female,No,Not Graduate,No,17346.0,14852.0,397.0,240.0,1.0,387.0,Y
Male,Yes,Graduate,No,3758.0,14274.0,519.0,360.0,1.0,672.0,Y
Male,Yes,Not Graduate,No,7780.0,1774.0,678.0,180.0,1.0,690.0,Y
Male,Yes,Not Graduate,No,13260.0,3365.0,266.0,240.0,1.0,639.0,Y
Male,No,Graduate,Yes,10973.0,8014.0,353.0,240.0,1.0,813.0,N
Male,Yes,Graduate,No,14413.0,13751.0,670.0,240.0,1.0,565.0,Y
Male,Yes,Graduate,No,19910.0,8342.0,393.0,240.0,1.0,381.0,N
Male,Yes,Graduate,No,2840.0,13792.0,243.0,240.0,1.0,697.0,N
Male,No,Not Graduate,Yes,19725.0,7425.0,308.0,360.0,1.0,657.0,Y
Female,Yes,Not Graduate,No,14299.0,13155.0,325.0,180.0,1.0,480.0,Y
Female,No,Graduate,Yes,19884.0,11412.0,557.0,180.0,1.0,814.0,Y
Male,No,Not Graduate,No,7559.0,3021.0,383.0,240.0,1.0,435.0,Y
Female,Yes,Graduate,Yes,7926.0,4237.0,585.0,360.0,1.0,564.0,Y
Female,No,Not Graduate,No,10707.0,6394.0,210.0,120.0,1.0,502.0,Y
Female,No,Not Graduate,No,18175.0,3817.0,449.0,180.0,1.0,781.0,Y
Female,Yes,Graduate,No,13654.0,13194.0,432.0,360.0,1.0,586.0,Y
Male,No,Graduate,No,15991.0,14979.0,179.0,180.0,1.0,432.0,Y
Female,Yes,Graduate,Yes,13271.0,9262.0,485.0,360.0,1.0,396.0,Y
Male,No,Graduate,No,9675.0,11635.0,503.0,360.0,0.0,393.0,Y
Female,No,Not Graduate,No,11339.0,12381.0,427.0,360.0,1.0,393.0,Y
Female,Yes,Not Graduate,Yes,24841.0,760.0,393.0,360.0,0.0,594.0,Y
Female,Yes,Graduate,No,21640.0,4451.0,593.0,360.0,0.0,315.0,Y
Male,No,Not Graduate,Yes,4594.0,4627.0,283.0,180.0,1.0,773.0,Y
Female,No,Not Graduate,No,5656.0,2739.0,311.0,240.0,1.0,759.0,Y
Male,Yes,Graduate,No,11740.0,7439.0,350.0,360.0,1.0,510.0,Y
Female,No,Graduate,No,20470.0,10209.0,266.0,360.0,1.0,742.0,Y
Male,No,Not Graduate,No,5155.0,5548.0,642.0,360.0,1.0,398.0,Y
Female,No,Graduate,No,24780.0,6791.0,261.0,360.0,1.0,319.0,N
Male,No,Graduate,No,2978.0,7916.0,372.0,180.0,0.0,320.0,Y
Male,Yes,Not Graduate,Yes,12497.0,6845.0,635.0,360.0,0.0,480.0,Y
Female,Yes,Not Graduate,No,14075.0,6867.0,518.0,240.0,1.0,784.0,Y
Male,Yes,Graduate,Yes,21431.0,9108.0,506.0,360.0,1.0,699.0,N
Male,Yes,Not Graduate,No,4589.0,14399.0,491.0,180.0,1.0,571.0,Y
Female,Yes,Graduate,No,20390.0,3943.0,537.0,360.0,1.0,322.0,Y
Female,Yes,Graduate,No,7942.0,3460.0,186.0,240.0,1.0,407.0,Y
Female,No,Not Graduate,No,20983.0,1492.0,504.0,240.0,1.0,323.0,Y
Female,Yes,Not Graduate,No,13517.5,3621.0,374.0,120.0,1.0,574.0,Y
Female,No,Graduate,No,14511.0,8918.0,514.0,360.0,1.0,840.0,N
Female,No,Graduate,No,19577.0,13842.0,661.0,360.0,1.0,414.0,Y
Female,No,Graduate,No,7915.0,13053.0,426.0,240.0,1.0,693.0,Y
Female,Yes,Not Graduate,No,4045.0,9801.0,211.0,180.0,1.0,703.0,Y
Female,No,Graduate,No,10439.0,5018.0,401.0,360.0,1.0,401.0,N
Female,Yes,Not Graduate,No,11576.0,8162.0,235.0,360.0,1.0,565.0,N
Male,No,Graduate,Yes,11564.0,12940.0,432.0,180.0,1.0,382.0,Y
Male,No,Not Graduate,No,13105.0,13192.0,102.0,360.0,1.0,595.0,Y
Female,Yes,Graduate,Yes,17765.0,7496.0,261.0,240.0,1.0,545.0,Y
Female,No,Not Graduate,No,22056.0,4841.0,611.0,360.0,1.0,560.0,Y
Female,No,Graduate,No,16793.0,9131.0,176.0,360.0,0.0,451.0,Y
Female,No,Graduate,No,16921.0,7468.0,284.0,240.0,0.0,673.0,Y
Female,No,Graduate,No,9181.0,87.0,669.0,240.0,1.0,645.0,N
Female,Yes,Graduate,Yes,2044.0,14121.0,579.0,180.0,0.0,794.0,Y
Female,No,Not Graduate,No,20469.0,562.0,262.0,240.0,1.0,417.0,Y
Male,No,Not Graduate,No,6511.0,1268.0,120.0,360.0,1.0,673.0,N
Male,Yes,Not Graduate,Yes,24772.0,9682.0,676.0,120.0,1.0,428.0,Y
Female,No,Not Graduate,No,17421.0,5561.0,677.0,360.0,1.0,502.0,Y
Male,No,Not Graduate,No,9775.0,12729.0,397.0,360.0,0.0,498.0,N
Female,No,Graduate,No,23755.0,6045.0,398.0,360.0,1.0,376.0,Y
Female,No,Not Graduate,Yes,12707.0,11271.0,381.0,360.0,0.0,746.0,Y
Male,Yes,Not Graduate,No,15372.0,9764.0,571.0,240.0,1.0,725.0,Y
Female,No,Not Graduate,No,9948.0,4654.0,509.0,180.0,1.0,807.0,N
Male,Yes,Not Graduate,No,24607.0,3171.0,491.0,240.0,1.0,351.0,Y
Female,No,Graduate,No,22707.0,7512.0,264.0,360.0,1.0,477.0,Y
Female,No,Graduate,Yes,13079.0,7852.0,181.0,360.0,0.0,748.0,Y
Male,No,Graduate,No,10216.0,2800.0,263.0,240.0,1.0,412.0,Y
Female,Yes,Graduate,No,12006.0,14816.0,203.0,240.0,1.0,535.0,Y
Male,No,Not Graduate,Yes,3225.0,6846.0,229.0,360.0,1.0,465.0,Y
Female,No,Not Graduate,No,3248.0,11605.0,695.0,240.0,1.0,597.0,N
Male,Yes,Graduate,No,17869.0,5038.0,219.0,120.0,0.0,679.0,Y
Male,Yes,Graduate,No,23410.0,9449.0,358.0,240.0,1.0,466.0,Y
Female,Yes,Not Graduate,No,21226.0,4888.0,203.0,360.0,1.0,661.0,Y
Female,Yes,Not Graduate,No,7698.0,14461.0,463.0,360.0,1.0,753.0,Y
Male,No,Graduate,No,19966.0,12977.0,645.0,240.0,1.0,803.0,Y
Female,No,Graduate,No,6848.0,12764.0,468.0,360.0,1.0,756.0,Y
Female,No,Graduate,No,11905.0,4780.0,425.0,360.0,1.0,574.0,N
Female,No,Graduate,No,13783.0,10611.0,284.0,360.0,1.0,484.0,Y
Male,Yes,Not Graduate,No,15388.0,7496.0,493.0,240.0,1.0,717.0,Y
Male,No,Not Graduate,No,5138.0,12829.0,443.0,240.0,1.0,422.0,Y
Male,No,Not Graduate,Yes,23139.0,6703.0,629.0,180.0,1.0,536.0,Y
Male,No,Graduate,No,19901.0,12466.0,516.0,240.0,1.0,743.0,Y
Male,No,Not Graduate,Yes,12924.0,11357.0,330.0,240.0,1.0,726.0,Y
Male,Yes,Not Graduate,Yes,6642.0,10806.0,234.0,180.0,1.0,360.0,N
Male,No,Graduate,No,7196.0,747.0,144.0,360.0,0.0,391.0,N
Male,No,Graduate,No,13155.0,7094.0,591.0,180.0,1.0,533.0,Y
Male,No,Graduate,No,14055.0,6445.0,694.0,180.0,1.0,830.0,N
Female,Yes,Graduate,No,22152.0,11681.0,521.0,240.0,1.0,667.0,Y
Male,Yes,Not Graduate,No,8198.0,10825.0,650.0,360.0,1.0,536.0,Y
Female,No,Graduate,No,10072.0,13763.0,244.0,180.0,1.0,590.0,Y
Female,No,Not Graduate,No,17965.0,3488.0,416.0,180.0,1.0,660.0,Y
Female,No,Not Graduate,No,11688.0,10039.0,662.0,180.0,1.0,437.0,Y
Male,Yes,Not Graduate,No,13919.0,12217.0,392.0,240.0,1.0,541.0,Y
Male,No,Not Graduate,No,23942.0,9337.0,678.0,180.0,1.0,591.0,N
Male,No,Not Graduate,No,11927.0,2104.0,635.0,240.0,1.0,736.0,Y
Male,No,Not Graduate,No,16059.0,3856.0,565.0,120.0,1.0,353.0,N
Female,Yes,Graduate,Yes,16649.0,5119.0,148.0,120.0,1.0,827.0,N
Male,No,Graduate,No,19727.0,5258.0,558.0,360.0,1.0,349.0,Y
Male,No,Graduate,No,7490.0,13510.0,524.0,240.0,1.0,488.0,Y
Male,Yes,Not Graduate,No,23719.0,2768.0,167.0,240.0,1.0,812.0,Y
Male,Yes,Not Graduate,No,18432.0,4059.0,608.0,120.0,1.0,476.0,N
Male,No,Graduate,No,7916.0,1808.0,309.0,180.0,1.0,518.0,Y
Female,Yes,Graduate,No,20894.0,7496.0,399.0,360.0,1.0,555.0,Y
Male,No,Graduate,No,24609.0,409.0,223.0,240.0,0.0,657.0,Y
Female,Yes,Graduate,No,13526.0,645.0,391.0,360.0,0.0,489.0,N
Male,Yes,Graduate,No,22044.0,12112.0,520.0,240.0,1.0,759.0,Y
Female,No,Not Graduate,No,3746.0,1551.0,149.0,240.0,0.0,308.0,Y
Male,No,Not Graduate,No,10170.0,13926.0,282.0,360.0,1.0,784.0,Y
Male,No,Not Graduate,No,2633.0,5362.0,346.0,360.0,0.0,488.0,Y
Female,Yes,Graduate,No,14889.0,7496.0,187.0,240.0,0.0,322.0,N
Female,No,Not Graduate,No,21104.0,3587.0,649.0,180.0,1.0,596.0,Y
Male,No,Graduate,No,18559.0,61.0,660.0,240.0,1.0,627.0,Y
Male,No,Not Graduate,No,17140.0,9427.0,171.0,240.0,1.0,310.0,Y
Female,No,Graduate,Yes,10152.0,12535.0,655.0,360.0,1.0,300.0,N
Male,No,Graduate,No,17718.0,1727.0,390.0,240.0,1.0,476.0,Y
Male,Yes,Not Graduate,No,21741.0,4592.0,603.0,120.0,0.0,624.0,N
Female,No,Not Graduate,No,6392.0,14391.0,412.0,360.0,0.0,441.0,Y
Female,No,Not Graduate,No,7379.0,8168.0,387.0,120.0,0.0,818.0,Y
Male,Yes,Not Graduate,Yes,24354.0,12746.0,607.0,240.0,1.0,422.0,Y
Male,Yes,Not Graduate,No,10666.0,2966.0,170.0,240.0,1.0,743.0,Y
Female,No,Graduate,No,11838.0,3360.0,260.0,180.0,1.0,835.0,Y
Female,No,Not Graduate,No,3958.0,5662.0,226.0,360.0,1.0,538.0,Y
Female,Yes,Not Graduate,No,8679.0,8070.0,555.0,240.0,1.0,454.0,N
Male,No,Graduate,No,17921.0,9604.0,628.0,360.0,1.0,574.0,N
Male,Yes,Not Graduate,No,15348.0,11776.0,403.0,240.0,1.0,737.0,Y
Male,Yes,Graduate,No,9348.0,9925.0,589.0,360.0,1.0,771.0,Y
Male,Yes,Not Graduate,Yes,7884.0,6700.0,338.0,240.0,1.0,756.0,N
Male,No,Not Graduate,Yes,14312.0,3630.0,275.0,360.0,1.0,748.0,Y
Male,Yes,Graduate,No,10828.0,3869.0,309.0,360.0,1.0,402.0,Y
Female,No,Not Graduate,No,21998.0,5200.0,668.0,180.0,1.0,485.0,Y
Male,No,Not Graduate,No,5820.0,10683.0,458.0,120.0,1.0,717.0,Y
Male,No,Not Graduate,No,6322.0,2039.0,288.0,360.0,1.0,652.0,Y
Male,Yes,Not Graduate,No,7467.0,13079.0,608.0,360.0,0.0,595.0,Y
Female,Yes,Graduate,No,14325.0,7454.0,655.0,180.0,1.0,816.0,Y
Male,Yes,Graduate,No,7502.0,1307.0,132.0,360.0,1.0,821.0,Y
Male,No,Not Graduate,No,24763.0,12204.0,600.0,180.0,1.0,783.0,Y
Female,Yes,Not Graduate,No,19588.0,6634.0,411.0,360.0,1.0,521.0,Y
Male,No,Graduate,No,8449.0,1724.0,639.0,360.0,1.0,843.0,Y
Male,Yes,Graduate,No,19587.0,5670.0,250.0,240.0,1.0,804.0,Y
Male,Yes,Not Graduate,No,24942.0,4690.0,674.0,120.0,1.0,581.0,Y
Male,No,Graduate,No,2982.0,2455.0,397.5,240.0,1.0,692.0,Y
Male,No,Graduate,No,10923.0,14662.0,210.0,360.0,0.0,752.0,Y
Female,Yes,Graduate,No,16989.0,941.0,231.0,240.0,1.0,354.0,N
Female,Yes,Graduate,No,24912.0,7092.0,619.0,360.0,1.0,355.0,Y
Female,Yes,Not Graduate,No,23983.0,5295.0,404.0,240.0,1.0,355.0,N
Male,Yes,Graduate,No,15429.0,10228.0,128.0,240.0,1.0,463.0,N
Male,No,Not Graduate,No,24074.0,7688.0,450.0,360.0,1.0,788.0,N
Male,Yes,Not Graduate,No,16396.0,10005.0,617.0,240.0,1.0,307.0,N
Female,Yes,Graduate,No,12792.0,14718.0,591.0,180.0,0.0,446.0,N
Male,No,Not Graduate,No,7905.0,3061.0,507.0,180.0,1.0,705.0,N
Male,Yes,Not Graduate,No,24715.0,10586.0,607.0,240.0,1.0,365.0,Y
Male,No,Graduate,No,6073.0,12559.0,204.0,240.0,1.0,438.0,Y
Male,No,Graduate,No,21278.0,9476.0,651.0,240.0,1.0,494.0,N
Female,No,Graduate,No,4234.0,8587.0,419.0,240.0,1.0,588.0,Y
Female,No,Not Graduate,No,17273.0,3763.0,145.0,360.0,1.0,757.0,N
Female,No,Not Graduate,Yes,9631.0,12441.0,340.0,240.0,1.0,728.0,Y
Male,No,Not Graduate,Yes,24243.0,7694.0,369.0,240.0,1.0,494.0,Y
Male,Yes,Not Graduate,No,19831.0,9282.0,136.0,360.0,0.0,594.0,N
Male,No,Graduate,No,14061.0,2888.0,304.0,360.0,1.0,720.0,Y
Male,No,Not Graduate,No,18485.0,9914.0,585.0,240.0,1.0,349.0,N
Male,Yes,Graduate,Yes,13899.0,4443.0,209.0,180.0,1.0,569.0,Y
Male,No,Graduate,No,15738.0,4006.0,585.0,180.0,1.0,677.0,N
Male,Yes,Graduate,No,12850.0,1086.0,417.0,180.0,1.0,841.0,Y
Female,No,Graduate,No,18919.0,6499.0,691.0,240.0,1.0,457.0,Y
Male,Yes,Not Graduate,Yes,20084.0,1304.0,175.0,240.0,1.0,420.0,Y
Female,Yes,Graduate,No,9039.0,11304.0,597.0,240.0,1.0,400.0,Y
Male,No,Not Graduate,No,9114.0,13851.0,578.0,360.0,1.0,632.0,N
Male,No,Graduate,No,14411.0,7496.0,488.0,120.0,1.0,594.0,Y
Male,No,Graduate,No,9469.0,1014.0,687.0,240.0,1.0,725.0,Y
Female,No,Graduate,No,17003.0,12564.0,692.0,180.0,1.0,383.0,N
Female,Yes,Not Graduate,No,8492.0,8412.0,463.0,180.0,0.0,354.0,N
Female,Yes,Graduate,Yes,6344.0,5848.0,408.0,360.0,1.0,541.0,N
Female,Yes,Graduate,Yes,3971.0,11997.0,162.0,180.0,1.0,445.0,Y
Male,No,Graduate,Yes,15582.0,14396.0,366.0,240.0,0.0,667.0,Y
Female,Yes,Graduate,No,11644.0,9318.0,132.0,360.0,1.0,472.0,Y
Male,No,Not Graduate,No,19096.0,11448.0,139.0,360.0,1.0,330.0,N
Male,No,Not Graduate,No,5655.0,10122.0,359.0,120.0,1.0,692.0,Y
Female,Yes,Graduate,No,17342.0,10314.0,366.0,120.0,1.0,708.0,Y
Female,No,Graduate,No,14534.0,8664.0,324.0,360.0,1.0,574.0,Y
Female,Yes,Not Graduate,No,14768.0,5120.0,482.0,360.0,1.0,818.0,Y
Female,No,Not Graduate,No,24625.0,415.0,597.0,360.0,1.0,545.0,N
Female,Yes,Not Graduate,Yes,8472.0,13780.0,104.0,360.0,1.0,725.0,Y
Female,No,Graduate,No,11640.0,13676.0,545.0,240.0,1.0,747.0,Y
Female,Yes,Not Graduate,No,22032.0,1868.0,387.0,180.0,1.0,516.0,Y
Female,Yes,Graduate,No,7124.0,13985.0,157.0,120.0,1.0,829.0,N
Male,No,Not Graduate,No,10650.0,7496.0,171.0,240.0,1.0,416.0,Y
Female,No,Not Graduate,Yes,4843.0,1533.0,640.0,180.0,1.0,538.0,Y
Female,Yes,Graduate,No,18976.0,7922.0,181.0,240.0,1.0,575.0,Y
Male,No,Not Graduate,No,2497.0,1462.0,376.0,240.0,1.0,301.0,Y
Female,No,Graduate,No,4134.0,14190.0,621.0,180.0,1.0,674.0,Y
Male,No,Not Graduate,No,20833.0,7698.0,673.0,360.0,1.0,589.0,Y
Male,Yes,Graduate,No,7412.0,1865.0,235.0,240.0,1.0,424.0,Y
Female,Yes,Not Graduate,No,6292.0,4009.0,213.0,240.0,0.0,462.0,Y
Male,No,Not Graduate,No,2026.0,11322.0,256.0,240.0,1.0,496.0,N
Male,No,Graduate,No,14108.0,9928.0,495.0,180.0,0.0,826.0,Y
Male,Yes,Graduate,No,16470.0,11378.0,328.0,360.0,1.0,594.0,Y
Male,No,Graduate,No,4253.0,14538.0,354.0,360.0,1.0,762.0,Y
Female,Yes,Graduate,Yes,22026.0,7973.0,278.0,240.0,1.0,839.0,N
Male,No,Not Graduate,No,22039.0,7710.0,328.0,240.0,1.0,311.0,N
Female,No,Not Graduate,No,13490.0,8663.0,466.0,240.0,1.0,494.0,Y
Male,No,Not Graduate,No,15379.0,3177.0,130.0,360.0,1.0,565.0,Y
Male,Yes,Not Graduate,No,14649.0,11118.0,207.0,180.0,0.0,636.0,Y
Male,Yes,Not Graduate,No,11475.0,2865.0,381.0,360.0,1.0,575.0,Y
Male,Yes,Not Graduate,No,16993.0,3197.0,489.0,360.0,1.0,793.0,Y
Female,Yes,Graduate,No,3086.0,2461.0,640.0,240.0,1.0,544.0,Y
Female,No,Not Graduate,No,4015.0,7782.0,628.0,360.0,1.0,327.0,Y
Male,No,Not Graduate,No,23451.0,13986.0,503.0,240.0,0.0,503.0,Y
Male,Yes,Graduate,No,11907.0,3581.0,269.0,240.0,1.0,612.0,Y
Female,No,Not Graduate,No,9123.0,8692.0,274.0,360.0,1.0,664.0,N
Male,No,Not Graduate,No,15934.0,7994.0,173.0,360.0,1.0,336.0,N
Male,Yes,Not Graduate,No,9084.0,120.0,553.0,240.0,1.0,691.0,N
Male,No,Graduate,No,21847.0,1775.0,608.0,360.0,1.0,542.0,Y
Female,No,Graduate,No,22725.0,606.0,339.0,360.0,1.0,399.0,Y
Female,Yes,Not Graduate,No,24805.0,8129.0,195.0,360.0,1.0,343.0,Y
Female,No,Graduate,No,16248.0,7375.0,613.0,240.0,1.0,364.0,Y
Male,No,Not Graduate,No,6467.0,12637.0,301.0,240.0,1.0,477.0,N
Male,No,Not Graduate,Yes,4896.0,819.0,136.0,360.0,1.0,446.0,Y
Female,Yes,Not Graduate,Yes,12362.0,11456.0,190.0,120.0,1.0,366.0,N
Female,Yes,Graduate,No,21512.0,14989.0,332.0,240.0,1.0,646.0,Y
Female,No,Not Graduate,No,22639.0,7496.0,352.0,360.0,1.0,345.0,Y
Female,No,Not Graduate,No,11342.0,1846.0,470.0,240.0,1.0,369.0,N
Male,No,Not Graduate,No,19718.0,7560.0,543.0,240.0,1.0,713.0,Y
Female,Yes,Not Graduate,No,19672.0,12784.0,540.0,240.0,1.0,753.0,Y
Male,Yes,Not Graduate,No,10937.0,391.0,163.0,240.0,1.0,508.0,Y
Female,Yes,Graduate,No,16623.0,7880.0,104.0,240.0,1.0,506.0,N
Male,No,Not Graduate,No,14707.0,11937.0,171.0,240.0,1.0,680.0,Y
Female,No,Graduate,No,24031.0,1132.0,496.0,360.0,1.0,382.0,N
Female,No,Not Graduate,No,7928.0,11168.0,429.0,120.0,1.0,585.0,Y
Female,No,Graduate,No,23186.0,10709.0,647.0,240.0,1.0,756.0,N
Female,No,Not Graduate,No,19081.0,4445.0,246.0,120.0,1.0,717.0,Y
Male,Yes,Not Graduate,No,13226.0,13062.0,514.0,180.0,1.0,537.0,N
Female,No,Graduate,No,18858.0,14033.0,448.0,360.0,1.0,645.0,Y
Male,No,Graduate,No,14168.0,10388.0,464.0,180.0,1.0,665.0,N
Male,Yes,Not Graduate,No,16189.0,14591.0,515.0,180.0,1.0,656.0,Y
Male,Yes,Graduate,No,8532.0,11652.0,606.0,240.0,1.0,360.0,Y
Male,No,Graduate,No,10702.0,5318.0,622.0,360.0,1.0,683.0,N
Female,Yes,Not Graduate,No,12452.0,14219.0,349.0,360.0,1.0,462.0,Y
Male,Yes,Not Graduate,No,21328.0,5562.0,348.0,360.0,1.0,312.0,Y
Male,Yes,Not Graduate,No,24016.0,14160.0,450.0,120.0,1.0,406.0,Y
Male,Yes,Not Graduate,No,7384.0,4439.0,368.0,240.0,0.0,662.0,Y
Female,Yes,Not Graduate,No,19750.0,676.0,547.0,240.0,1.0,564.0,Y
Female,No,Graduate,No,19445.0,6251.0,182.0,360.0,1.0,407.0,Y
Female,No,Not Graduate,No,4307.0,594.0,640.0,360.0,1.0,767.0,Y
Female,Yes,Graduate,No,18691.0,12076.0,506.0,240.0,1.0,567.0,Y
Male,Yes,Not Graduate,No,11188.0,11343.0,438.0,240.0,1.0,534.0,Y
Male,Yes,Not Graduate,No,11321.0,3324.0,179.0,240.0,0.0,514.0,Y
Female,No,Graduate,No,2303.0,6168.0,194.0,240.0,1.0,755.0,Y
Male,No,Not Graduate,No,8486.0,6426.0,358.0,360.0,1.0,577.0,Y
Male,Yes,Graduate,No,7566.0,7730.0,221.0,180.0,1.0,638.0,Y
Male,No,Graduate,No,23541.0,2934.0,223.0,240.0,1.0,464.0,Y
Female,No,Graduate,No,5891.0,5033.0,634.0,180.0,1.0,340.0,Y
Female,Yes,Not Graduate,No,11046.0,6763.0,388.0,360.0,1.0,512.0,Y
Male,Yes,Not Graduate,Yes,7724.0,6086.0,561.0,360.0,1.0,414.0,N
Female,Yes,Not Graduate,No,17579.0,4333.0,191.0,240.0,1.0,760.0,Y
Female,No,Not Graduate,No,24664.0,11177.0,123.0,120.0,1.0,434.0,Y
Female,No,Not Graduate,No,7350.0,10555.0,206.0,120.0,1.0,644.0,Y
Female,Yes,Not Graduate,Yes,11009.0,839.0,151.0,240.0,0.0,332.0,Y
Female,Yes,Graduate,No,16025.0,2510.0,393.0,240.0,1.0,814.0,Y
Male,Yes,Not Graduate,No,11164.0,11961.0,399.0,180.0,0.0,651.0,Y
Female,No,Not Graduate,No,6133.0,4687.0,444.0,360.0,1.0,799.0,Y
Male,No,Not Graduate,Yes,11370.0,2887.0,481.0,240.0,1.0,797.0,Y
Male,Yes,Not Graduate,No,17862.0,3043.0,667.0,180.0,1.0,578.0,Y
Female,No,Graduate,No,2104.0,1631.0,293.0,120.0,1.0,749.0,Y
Male,Yes,Graduate,No,16269.0,1405.0,656.0,240.0,1.0,601.0,Y
Male,No,Graduate,No,24985.0,7632.0,535.0,180.0,1.0,817.0,Y
Male,Yes,Graduate,No,10561.0,6115.0,484.0,240.0,1.0,576.0,Y
Female,No,Graduate,No,14389.0,12437.0,471.0,240.0,0.0,379.0,N
Female,No,Not Graduate,No,21347.0,6495.0,419.0,360.0,1.0,750.0,Y
Male,Yes,Graduate,No,10855.0,2489.0,338.0,240.0,1.0,554.0,Y
