Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Credit_Score,Loan_Status
Male,Yes,Not Graduate,No,3633,2230,377,240,1,817,N
Female,Yes,Not Graduate,No,19901,4287,651,120,1,513,Y
Male,Yes,Graduate,Yes,14485,4160,210,240,0,366,N
Female,Yes,Graduate,Yes,12849,7106,484,360,1,695,Y
Female,No,Not Graduate,Yes,5648,9689,290,180,0,311,Y
Male,Yes,Graduate,No,17177,3171,589,240,1,536,Y
Male,No,Not Graduate,Yes,15140,1567,525,360,0,698,N
Male,No,Graduate,No,19921,1151,504,240,1,706,Y
Male,Yes,Graduate,No,16357,7619,434,120,0,779,N
Male,Yes,Not Graduate,No,15368,6033,308,240,1,521,Y
Male,Yes,Graduate,No,5137,8560,121,240,1,455,N
Male,Yes,Not Graduate,No,2097,4946,307,180,0,727,N
Male,No,Graduate,No,13407,8234,107,120,1,457,Y
Female,Yes,Not Graduate,No,14722,1907,628,120,1,715,N
Female,Yes,Not Graduate,Yes,14924,3490,265,180,1,625,Y
Male,Yes,Graduate,Yes,5750,2535,595,240,1,670,Y
Female,Yes,Not Graduate,No,10535,4173,689,360,0,643,Y
Female,Yes,Graduate,No,6666,1293,528,120,1,561,N
Female,Yes,Graduate,Yes,18009,4769,262,120,1,582,N
Female,No,Graduate,No,18994,4796,465,240,1,528,N
Male,No,Not Graduate,Yes,3727,6871,625,240,1,579,N
Female,Yes,Not Graduate,Yes,3854,2972,338,120,1,589,N
Male,Yes,Graduate,Yes,12800,3922,171,240,1,346,Y
Female,Yes,Graduate,No,7055,4997,544,360,1,513,N
Female,No,Not Graduate,No,12271,7032,608,120,0,323,Y
Female,Yes,Graduate,Yes,14819,992,368,360,1,620,N
Male,No,Graduate,Yes,11369,8112,514,360,1,573,N
Female,Yes,Not Graduate,Yes,11283,5287,344,240,0,612,N
Male,Yes,Graduate,Yes,15171,2240,159,360,1,662,N
Female,Yes,Not Graduate,Yes,7774,1476,105,240,0,679,Y
Male,Yes,Graduate,No,8519,6426,669,180,1,769,N
Female,No,Not Graduate,Yes,12983,389,506,240,0,415,Y
Male,No,Graduate,No,16939,999,316,360,1,341,N
Male,Yes,Graduate,Yes,2781,1855,125,180,0,678,N
Female,Yes,Not Graduate,No,18282,8125,104,240,1,505,N
Male,No,Graduate,No,8823,8850,631,360,1,765,N
Female,No,Not Graduate,No,9193,2763,489,120,1,579,Y
Female,No,Graduate,No,4113,3663,670,120,1,417,Y
Female,No,Not Graduate,No,18280,4986,547,240,1,536,N
Female,Yes,Not Graduate,No,15565,1481,245,240,1,608,Y
Female,No,Not Graduate,Yes,12183,7256,487,120,1,755,Y
Female,Yes,Not Graduate,No,19961,3731,348,360,1,774,N
Female,No,Graduate,Yes,11203,7262,625,360,1,399,N
Female,No,Graduate,No,17795,451,561,360,1,560,N
Female,No,Not Graduate,No,15489,9729,112,240,1,604,Y
Female,No,Not Graduate,Yes,7546,3093,483,180,1,653,N
Female,No,Not Graduate,No,8852,882,655,180,1,585,Y
Male,Yes,Graduate,Yes,4551,4408,498,180,1,627,N
Male,Yes,Graduate,Yes,8411,4068,118,180,1,402,Y
Female,No,Graduate,Yes,18391,3277,674,180,1,362,N
Female,No,Graduate,Yes,2475,8566,590,240,0,581,Y
Female,Yes,Not Graduate,No,12403,7951,518,240,1,740,Y
Female,No,Not Graduate,No,9239,4690,436,180,1,592,N
Female,No,Not Graduate,Yes,8710,4595,518,240,1,306,N
Female,Yes,Graduate,No,10078,4559,221,240,1,391,Y
Female,No,Graduate,No,4285,7291,531,180,1,489,N
Female,No,Graduate,Yes,7223,8160,143,360,1,775,Y
Male,Yes,Not Graduate,No,15521,112,416,240,1,810,N
Female,Yes,Not Graduate,Yes,16889,5131,480,360,1,761,N
Male,Yes,Graduate,Yes,8971,3197,244,240,1,352,Y
Female,No,Not Graduate,No,13531,139,426,240,1,785,N
Female,Yes,Graduate,No,16721,1424,462,180,1,789,Y
Male,Yes,Graduate,No,6943,2949,149,240,1,663,Y
Female,Yes,Not Graduate,Yes,8530,3168,164,120,0,411,N
Male,Yes,Graduate,Yes,13116,8708,454,120,1,708,N
Female,Yes,Not Graduate,No,2258,6043,263,180,1,306,Y
Female,Yes,Graduate,No,2282,6989,240,360,0,496,Y
Male,No,Not Graduate,No,15937,7236,227,360,1,666,Y
Female,No,Not Graduate,No,3898,6261,497,360,1,549,N
Male,Yes,Not Graduate,Yes,6135,887,562,120,1,539,Y
Female,Yes,Graduate,No,8629,3104,286,360,0,679,Y
Male,Yes,Graduate,Yes,13168,49,289,360,1,770,Y
Male,No,Not Graduate,Yes,2612,3951,487,180,1,754,Y
Female,No,Not Graduate,No,16203,3560,528,360,1,665,Y
Female,No,Graduate,No,19071,18,383,120,0,589,Y
Male,No,Graduate,No,4307,4821,336,120,1,702,Y
Female,No,Graduate,Yes,9133,6340,293,120,1,357,Y
Female,No,Not Graduate,No,13205,8058,386,180,0,820,N
Female,No,Graduate,No,7906,9665,235,180,1,603,Y
Male,No,Graduate,Yes,4591,2606,270,240,1,414,N
Male,No,Not Graduate,No,17149,7846,258,360,1,509,N
Male,Yes,Graduate,Yes,14150,8643,300,180,1,340,N
Male,Yes,Graduate,No,9183,6432,586,120,0,472,N
Male,Yes,Graduate,Yes,12102,3765,656,120,1,533,Y
Male,Yes,Not Graduate,No,19053,2438,682,180,0,702,Y
Male,No,Not Graduate,No,3283,9741,603,180,1,338,Y
Male,No,Not Graduate,Yes,2923,6358,470,180,1,418,Y
Male,Yes,Not Graduate,Yes,3125,8319,202,240,0,634,N
Female,No,Not Graduate,No,3529,5941,224,120,1,635,N
Male,Yes,Not Graduate,Yes,10438,7644,412,240,1,838,N
Female,No,Not Graduate,Yes,18154,4855,557,240,1,373,Y
Female,Yes,Graduate,Yes,10004,6547,329,360,0,490,N
Female,No,Graduate,Yes,11752,7196,296,120,1,623,Y
Male,No,Not Graduate,No,12592,5911,522,120,1,446,Y
Male,Yes,Graduate,No,5864,6481,671,180,1,583,Y
Male,No,Graduate,Yes,2226,2761,270,180,1,512,N
Male,Yes,Not Graduate,Yes,17036,4456,481,360,1,693,Y
Female,Yes,Graduate,Yes,13739,9607,272,240,1,638,N
Male,Yes,Graduate,Yes,18648,6361,552,180,1,321,N
Male,Yes,Graduate,No,11587,5693,449,180,1,404,N
Male,No,Graduate,No,13749,5788,593,120,1,765,Y
Male,No,Graduate,Yes,2645,201,103,120,0,758,N
Male,No,Not Graduate,Yes,18299,6160,192,180,1,731,N
Female,Yes,Not Graduate,Yes,15675,517,105,120,0,520,Y
Male,No,Not Graduate,No,12964,7737,387,360,1,678,Y
Female,Yes,Graduate,Yes,18087,9533,245,180,1,521,Y
Male,No,Not Graduate,No,15537,1988,523,120,0,557,Y
Female,No,Graduate,Yes,15269,3802,556,360,1,666,N
Male,No,Graduate,No,11346,5808,301,120,1,648,N
Male,Yes,Graduate,Yes,2587,7162,311,120,0,524,Y
Female,No,Graduate,No,14763,6241,105,120,1,535,N
Female,No,Not Graduate,Yes,11177,8399,475,180,1,482,N
Female,Yes,Not Graduate,Yes,6079,5633,546,240,1,743,Y
Male,No,Graduate,Yes,5348,5755,205,120,1,305,N
Female,Yes,Not Graduate,No,12785,6309,500,360,1,535,N
Male,No,Graduate,Yes,14328,4117,195,180,1,426,N
Male,Yes,Not Graduate,No,8450,8345,487,180,1,403,Y
Female,Yes,Not Graduate,No,15230,1518,551,360,1,779,N
Female,No,Graduate,Yes,7433,6163,515,120,1,454,Y
Male,Yes,Not Graduate,Yes,3098,2600,603,240,1,556,N
Male,Yes,Graduate,Yes,9096,2195,553,120,1,534,Y
Female,Yes,Not Graduate,No,13439,3554,390,360,1,799,N
Female,Yes,Graduate,Yes,11087,2849,633,180,1,588,Y
Female,Yes,Graduate,No,18021,1742,292,240,1,809,Y
Male,Yes,Not Graduate,No,8416,1306,249,180,1,597,N
Male,No,Not Graduate,Yes,8980,3849,614,360,1,436,Y
Male,Yes,Graduate,Yes,13101,7519,492,120,0,675,N
Male,Yes,Not Graduate,Yes,9950,4195,415,240,1,386,N
Male,No,Not Graduate,Yes,11122,5178,175,180,1,718,N
Male,No,Graduate,Yes,14576,2555,698,180,1,498,Y
Female,No,Graduate,Yes,3089,2305,369,180,1,762,N
Male,No,Not Graduate,No,6578,7619,324,120,0,736,N
Male,No,Graduate,No,11127,9280,629,240,0,609,N
Male,No,Graduate,No,12487,2642,212,120,1,580,Y
Female,No,Graduate,Yes,2155,9369,350,120,1,622,Y
Male,Yes,Not Graduate,No,3958,6409,332,120,0,451,N
Male,Yes,Not Graduate,No,12693,4757,182,360,0,601,Y
Female,No,Graduate,No,8344,2994,224,360,1,577,Y
Male,Yes,Not Graduate,No,7779,8751,274,360,1,307,Y
Male,Yes,Graduate,No,5830,1271,168,240,1,534,N
Male,Yes,Not Graduate,Yes,11046,1813,146,120,0,601,N
Male,No,Graduate,Yes,11794,8801,355,120,1,337,N
Male,No,Graduate,No,2441,2461,129,360,1,435,Y
Female,Yes,Not Graduate,No,16478,4120,380,120,1,720,Y
Female,No,Graduate,No,6628,6124,336,120,1,518,N
Female,Yes,Not Graduate,Yes,8370,8475,347,180,1,647,N
Male,Yes,Not Graduate,Yes,11528,4396,467,120,0,845,N
Male,Yes,Graduate,No,19332,9283,594,180,1,378,N
Male,Yes,Graduate,Yes,13565,816,124,120,1,572,Y
Female,No,Not Graduate,Yes,10179,7304,685,240,1,460,N
Male,No,Graduate,No,18013,7331,589,360,1,607,Y
Male,No,Graduate,Yes,18843,82,593,180,1,673,Y
Female,Yes,Graduate,Yes,2392,1920,413,360,1,308,N
Male,No,Graduate,No,14130,7817,474,180,1,743,Y
Female,Yes,Graduate,Yes,12449,2093,124,180,1,412,Y
Female,No,Not Graduate,Yes,19522,7071,433,180,1,504,Y
Female,Yes,Not Graduate,No,9418,7967,454,240,1,704,Y
Male,Yes,Graduate,Yes,4454,8367,215,120,0,496,N
Male,Yes,Graduate,Yes,19761,5285,147,180,0,414,Y
Male,No,Graduate,No,17223,4937,198,240,1,420,Y
Male,No,Not Graduate,No,8701,369,558,180,1,364,Y
Male,No,Graduate,No,4597,1818,622,120,0,575,Y
Male,No,Not Graduate,Yes,2141,2101,696,180,1,538,Y
Male,Yes,Not Graduate,No,4659,3490,504,240,0,601,N
Female,No,Not Graduate,Yes,11031,1779,313,120,0,691,Y
Male,No,Graduate,No,17037,7674,602,240,1,821,N
Female,Yes,Not Graduate,Yes,15970,1364,547,120,1,668,N
Male,Yes,Graduate,No,7661,7294,675,120,0,532,N
Male,Yes,Not Graduate,No,8142,3676,357,360,1,494,Y
Male,No,Graduate,No,14109,2426,220,360,1,311,Y
Female,Yes,Not Graduate,No,10787,8264,153,360,1,476,N
Female,Yes,Graduate,Yes,12096,8089,430,120,1,516,N
Female,Yes,Not Graduate,No,10472,2962,340,180,1,310,N
Female,No,Graduate,No,18807,859,629,240,1,745,N
Male,Yes,Graduate,Yes,6249,4138,582,240,0,463,N
Female,No,Graduate,No,16949,2424,286,240,1,352,N
Male,No,Graduate,Yes,3750,9256,361,360,1,517,N
Male,Yes,Not Graduate,No,6088,4017,463,120,1,659,Y
Female,Yes,Not Graduate,No,17282,8560,590,360,1,684,N
Female,No,Graduate,No,11641,8342,530,180,1,355,N
Female,Yes,Not Graduate,Yes,7075,1134,338,120,0,417,Y
Female,Yes,Graduate,No,12412,5166,403,240,0,552,N
Female,No,Graduate,No,17686,5119,397,360,1,479,N
Female,No,Not Graduate,No,9230,5694,175,360,1,714,N
Female,Yes,Graduate,Yes,17432,6136,432,180,1,534,N
Female,No,Graduate,Yes,13002,5485,573,180,1,379,Y
Male,Yes,Not Graduate,No,15947,4164,382,360,1,321,N
Female,Yes,Graduate,Yes,15686,2346,690,180,1,776,N
Female,Yes,Graduate,No,19915,5039,171,240,0,739,N
Male,No,Graduate,No,15074,4897,362,180,1,392,Y
Female,Yes,Graduate,No,6493,8252,674,180,1,491,Y
Male,Yes,Not Graduate,No,19317,5041,111,360,1,402,N
Male,Yes,Not Graduate,No,3460,3901,240,360,1,695,Y
Female,No,Not Graduate,No,16140,1337,654,120,1,306,Y
Male,No,Graduate,No,12704,1184,116,120,1,530,N
Male,No,Graduate,Yes,18669,4426,162,360,1,539,Y
Male,No,Not Graduate,Yes,18648,1551,352,180,1,389,Y
Male,No,Graduate,Yes,8816,1629,564,180,1,531,Y
Female,Yes,Graduate,Yes,13639,9519,475,120,1,756,Y
Male,No,Graduate,Yes,16424,1526,619,120,1,532,N
Female,No,Graduate,Yes,15965,9865,189,120,1,653,Y
Male,No,Not Graduate,Yes,13240,1361,274,240,0,632,Y
Male,Yes,Not Graduate,No,2040,9765,175,240,1,738,N
Male,No,Not Graduate,No,7827,4370,499,120,1,674,N
Male,No,Graduate,No,10259,5283,170,180,1,591,N
Female,Yes,Not Graduate,No,19371,7610,279,120,1,644,Y
Female,No,Not Graduate,Yes,16849,1993,223,240,1,727,Y
Male,Yes,Graduate,Yes,18232,869,480,180,1,429,N
Male,Yes,Graduate,No,9804,1014,392,240,1,440,Y
Female,Yes,Not Graduate,No,7374,602,294,180,1,714,N
Male,Yes,Not Graduate,Yes,4524,690,327,240,0,392,Y
Male,Yes,Not Graduate,No,11277,8685,530,180,1,583,Y
Male,No,Not Graduate,No,11885,489,535,180,0,522,N
Female,Yes,Graduate,No,2778,6864,560,180,1,762,N
Female,Yes,Not Graduate,No,3492,7240,120,180,1,844,N
Female,No,Not Graduate,Yes,19044,7786,163,360,0,575,Y
Male,Yes,Graduate,No,19732,8024,264,240,1,439,Y
Male,No,Not Graduate,No,15615,294,126,240,1,656,N
Female,No,Graduate,Yes,14132,5488,410,360,1,322,N
Female,No,Graduate,Yes,12178,4027,384,180,1,569,Y
Female,Yes,Graduate,No,9851,2912,380,180,1,632,Y
Female,Yes,Not Graduate,Yes,18288,9909,263,240,1,384,Y
Male,Yes,Not Graduate,No,9156,4744,323,360,0,330,N
Female,No,Graduate,No,4044,1873,245,180,1,539,N
Male,Yes,Not Graduate,Yes,9368,3258,129,180,0,662,N
Female,Yes,Not Graduate,No,15635,2817,144,180,0,688,Y
Male,Yes,Graduate,No,11168,8636,570,120,1,598,N
Female,No,Graduate,No,19111,3641,133,360,1,670,Y
Female,No,Not Graduate,No,13328,4458,526,180,0,398,N
Female,Yes,Graduate,Yes,15319,5307,320,120,0,346,N
Female,Yes,Not Graduate,Yes,2342,8933,633,360,1,721,Y
Male,Yes,Not Graduate,No,3447,2041,466,180,1,779,Y
Female,Yes,Not Graduate,Yes,8581,679,649,240,1,361,Y
Male,No,Not Graduate,No,13851,5738,681,120,1,408,Y
Male,No,Graduate,No,8317,5668,215,120,1,848,N
Male,No,Graduate,No,18910,9550,338,180,1,418,N
Male,No,Graduate,No,12088,7697,434,180,1,681,N
Female,Yes,Graduate,No,14946,8033,540,120,1,691,N
Male,Yes,Not Graduate,Yes,18789,62,247,240,1,351,N
Male,Yes,Not Graduate,No,16567,7829,108,240,1,588,Y
Male,No,Graduate,Yes,16868,7352,387,360,1,636,Y
Female,Yes,Not Graduate,Yes,11765,6915,487,180,1,503,N
Female,No,Not Graduate,No,14466,8326,149,240,1,537,Y
Female,No,Not Graduate,No,19862,3644,616,360,1,681,N
Female,Yes,Graduate,No,12587,4970,686,240,1,435,Y
Male,Yes,Graduate,No,2771,8003,377,180,0,706,N
Male,Yes,Graduate,No,18300,3278,399,360,1,807,N
Female,No,Not Graduate,Yes,10770,7296,688,360,1,661,Y
Male,Yes,Graduate,No,13093,9014,234,360,1,680,Y
Male,No,Graduate,No,15803,3074,679,240,0,553,N
Male,Yes,Graduate,Yes,2193,8312,246,180,1,776,Y
Female,No,Graduate,Yes,4007,7552,589,360,1,413,Y
Female,No,Graduate,No,19569,1637,577,120,1,319,N
Male,Yes,Graduate,Yes,13190,5103,258,180,1,827,Y
Female,No,Not Graduate,No,11984,9116,483,120,1,444,N
Female,No,Not Graduate,Yes,11302,644,262,120,1,507,N
Female,Yes,Graduate,Yes,9429,2032,540,360,1,830,Y
Female,No,Graduate,No,4261,2761,288,360,1,675,N
Female,Yes,Not Graduate,Yes,8716,2068,514,240,1,803,N
Male,No,Not Graduate,Yes,10921,241,438,240,1,465,Y
Female,Yes,Graduate,Yes,6378,2668,280,240,0,849,Y
Male,Yes,Graduate,Yes,9815,802,387,180,1,480,Y
Male,No,Graduate,Yes,15778,5059,286,240,0,743,Y
Female,No,Graduate,Yes,14728,195,237,120,1,631,Y
Male,No,Not Graduate,No,12332,2187,229,240,1,802,Y
Male,No,Graduate,No,11836,2330,293,360,1,378,Y
Male,No,Graduate,Yes,4800,4841,415,240,0,695,N
Female,Yes,Graduate,No,10333,3606,243,180,1,402,N
Female,No,Graduate,No,7410,8468,115,180,1,701,N
Male,Yes,Not Graduate,No,19839,60,401,120,1,523,N
Female,Yes,Not Graduate,Yes,7808,3927,522,180,1,817,N
Female,No,Not Graduate,No,8796,6296,344,240,1,535,N
Female,Yes,Graduate,Yes,12288,2591,206,360,1,726,N
Female,Yes,Graduate,No,19709,8758,187,180,1,415,Y
Male,Yes,Not Graduate,Yes,19543,9763,228,120,1,462,N
Male,Yes,Graduate,Yes,6650,6121,440,240,1,525,Y
Female,No,Graduate,No,6987,1200,103,120,1,529,Y
Female,Yes,Not Graduate,No,17200,2854,426,180,1,481,N
Male,No,Not Graduate,Yes,6697,7024,509,180,1,548,Y
Male,No,Not Graduate,No,18724,9428,405,120,1,617,Y
Female,Yes,Not Graduate,No,5828,6972,324,240,1,509,N
Male,No,Graduate,No,19087,136,447,180,0,691,N
Female,No,Graduate,Yes,14605,1029,420,360,0,395,N
Female,No,Not Graduate,Yes,7482,2594,658,180,0,385,N
Male,Yes,Graduate,No,7463,7206,280,240,1,714,Y
Male,No,Not Graduate,No,15860,661,485,180,1,693,Y
Female,No,Not Graduate,No,6912,2472,207,120,1,800,N
Female,No,Graduate,Yes,6648,86,630,180,1,432,Y
Male,Yes,Not Graduate,Yes,2855,6219,509,180,1,613,N
Female,No,Graduate,No,4866,8143,395,240,1,520,Y
Male,Yes,Graduate,No,13834,6968,270,120,0,737,Y
Female,Yes,Graduate,No,18294,2773,430,240,0,345,N
Male,Yes,Graduate,No,18566,1700,592,180,1,491,N
Male,Yes,Not Graduate,No,5112,2700,294,360,1,819,N
Male,Yes,Graduate,No,6492,6815,111,180,1,678,Y
Female,Yes,Not Graduate,Yes,17114,1647,294,240,1,633,Y
Female,No,Not Graduate,No,3517,6038,589,360,1,338,Y
Male,Yes,Not Graduate,Yes,18018,5164,281,240,1,592,Y
Female,No,Not Graduate,No,19740,5520,415,240,1,461,Y
Male,No,Graduate,No,13431,3687,129,120,1,630,Y
Male,Yes,Graduate,Yes,10210,596,695,360,1,403,N
Female,No,Not Graduate,Yes,13595,4545,195,180,1,460,Y
Female,No,Not Graduate,Yes,14871,8676,480,240,1,353,N
Male,No,Graduate,Yes,14743,8837,543,180,0,333,N
Female,No,Not Graduate,No,11324,4757,397,120,1,541,Y
Female,Yes,Graduate,Yes,13531,4384,460,120,1,412,Y
Male,No,Not Graduate,No,8588,8912,473,360,1,617,Y
Male,Yes,Graduate,Yes,5311,4733,653,120,1,322,N
Female,No,Not Graduate,No,2987,7081,402,120,0,417,Y
Male,No,Not Graduate,No,5321,8690,520,180,1,511,Y
Male,Yes,Graduate,No,17812,7117,345,120,1,717,N
Female,No,Not Graduate,No,6615,4729,336,120,1,412,Y
Male,No,Not Graduate,No,17512,1673,633,240,0,343,N
Male,No,Graduate,No,15146,8306,284,120,1,427,N
Female,Yes,Not Graduate,Yes,15654,9928,567,240,1,457,N
Female,No,Graduate,No,5052,7178,462,120,1,693,Y
Male,Yes,Graduate,Yes,2726,2294,382,120,1,811,N
Male,No,Not Graduate,Yes,5760,3630,652,360,1,344,N
Female,Yes,Not Graduate,No,3875,146,435,360,1,407,Y
Female,Yes,Not Graduate,Yes,15969,3453,261,240,1,518,Y
Female,No,Not Graduate,No,6033,4507,259,120,0,742,Y
Female,No,Not Graduate,Yes,7443,5783,573,180,1,614,N
Male,Yes,Not Graduate,No,19373,7751,421,360,1,476,N
Female,Yes,Not Graduate,Yes,5744,5628,111,180,1,527,N
Female,No,Graduate,No,18977,8328,523,360,1,566,N
Male,Yes,Not Graduate,No,3774,3360,172,360,1,678,Y
Female,No,Graduate,No,12651,3005,687,120,1,788,Y
Male,No,Not Graduate,No,2935,3552,300,360,1,589,N
Female,No,Not Graduate,Yes,15395,18,621,180,1,656,N
Female,No,Graduate,No,5808,2242,604,360,1,503,Y
Female,Yes,Not Graduate,Yes,18715,6318,138,240,1,512,N
Male,No,Not Graduate,Yes,13641,5097,159,120,1,622,N
Male,Yes,Graduate,Yes,16376,8640,677,120,1,480,N
Female,No,Not Graduate,No,7889,1948,420,240,1,798,N
Male,Yes,Not Graduate,Yes,7054,9137,534,240,0,619,N
Male,No,Not Graduate,Yes,5868,5618,507,240,0,382,Y
Male,Yes,Graduate,Yes,18585,4236,485,360,1,602,N
Male,Yes,Not Graduate,No,3842,6901,668,120,1,561,Y
Male,No,Not Graduate,No,12058,1920,177,240,1,499,N
Male,No,Not Graduate,Yes,11101,4188,293,360,0,539,Y
Female,No,Not Graduate,No,14497,238,384,240,1,594,N
Female,No,Graduate,No,6658,204,626,180,1,811,Y
Male,Yes,Graduate,Yes,13381,5552,623,180,1,695,Y
Female,No,Not Graduate,Yes,9544,4927,255,120,0,437,Y
Female,Yes,Not Graduate,No,9718,4390,439,360,1,428,N
Female,Yes,Graduate,Yes,15851,2687,224,180,1,348,N
Female,No,Graduate,No,19154,4951,379,180,1,592,Y
Male,Yes,Not Graduate,No,13777,6160,227,360,1,835,N
Female,Yes,Graduate,No,3628,5388,413,240,1,610,N
Female,Yes,Not Graduate,No,2386,9540,431,360,1,836,N
Male,Yes,Graduate,No,8031,5126,249,240,1,533,Y
Male,No,Graduate,No,8439,816,553,180,1,508,N
Female,No,Graduate,Yes,15392,9012,135,180,1,393,N
Female,No,Graduate,Yes,4282,192,519,180,1,626,N
Female,No,Not Graduate,No,3856,1776,121,120,1,524,N
Female,Yes,Graduate,No,17670,3645,305,120,1,310,N
Female,Yes,Graduate,No,3998,6314,455,120,1,628,N
Female,No,Not Graduate,Yes,7476,8442,539,360,1,311,Y
Male,No,Graduate,No,11428,1788,195,180,1,334,Y
Female,No,Graduate,Yes,6669,7374,263,180,1,746,Y
Female,Yes,Not Graduate,No,14336,3700,247,360,0,751,Y
Male,No,Graduate,No,11342,9359,629,120,1,519,N
Male,No,Not Graduate,Yes,9064,3893,393,360,1,740,N
Male,No,Not Graduate,Yes,9446,6811,294,120,1,834,N
Male,Yes,Not Graduate,No,19815,9288,579,180,1,528,Y
Female,Yes,Not Graduate,No,7624,2679,222,240,0,643,N
Female,Yes,Graduate,No,9461,3904,499,120,0,379,Y
Female,Yes,Not Graduate,Yes,3819,7260,551,180,1,652,Y
Female,Yes,Graduate,Yes,12516,504,203,180,1,695,Y
Female,Yes,Graduate,Yes,15749,9813,561,240,1,589,N
Female,Yes,Graduate,Yes,19514,9579,495,180,1,754,Y
Male,Yes,Graduate,Yes,4658,6773,436,180,1,427,N
Female,No,Graduate,Yes,5500,3816,698,120,1,842,Y
Male,No,Graduate,No,4120,717,241,120,1,658,N
Male,Yes,Graduate,No,6020,4434,416,240,1,826,N
Female,Yes,Graduate,Yes,12213,658,657,240,0,612,N
Male,No,Graduate,No,5259,5057,626,180,1,374,N
Female,Yes,Graduate,No,12081,4008,655,120,0,845,N
Male,Yes,Not Graduate,Yes,3823,4994,500,240,1,495,N
Female,Yes,Not Graduate,No,19858,4234,409,240,1,328,N
Male,No,Not Graduate,Yes,15467,3764,594,360,1,315,Y
Female,No,Graduate,Yes,8990,4637,655,240,1,722,Y
Female,No,Not Graduate,No,5134,2104,208,180,1,704,Y
Female,No,Not Graduate,Yes,18743,9447,471,120,1,830,N
Female,No,Not Graduate,Yes,17434,6801,305,240,0,376,N
Female,Yes,Graduate,Yes,17007,8575,142,360,1,528,N
Male,No,Graduate,Yes,12233,2607,344,120,1,596,N
Male,Yes,Graduate,Yes,18378,8385,386,240,0,809,Y
Male,Yes,Graduate,Yes,3141,3719,454,360,1,837,N
Female,No,Not Graduate,Yes,12135,2581,575,240,1,625,N
